KlasseAttribuutID	IMBORGUID	Klasse	Multipliciteit	Attribuut	Informatiemodel	Enumeratietype	OAGBD	Wijzigingsdatum	Toelichting	Eenheid
2136	522efe58-2fea-45a3-9b66-07392a4061df	1082	15167	540	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2139	78512c10-5061-4e00-8c8f-42abdac68e7e	73	15167	562	3	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2144	daf7be45-cec9-43fd-834e-1325b61acfca	1095	15167	844	4	23172	O	Wed Nov 06 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2147	4026ff04-32e5-4423-9af3-9eaf67c1f38e	300	15167	429	4	22447	O	Tue Jul 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2148	2d082487-7966-4c6a-8654-a8856e69b6c4	300	15167	430	4	15585	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2157	799e3f45-eafb-4837-955f-00282b4ed22d	8922	15167	1071	4	15586	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2158	96ebbcba-c41f-42a4-82ca-902bda4baddf	8922	15167	1070	4	15587	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2159	7e8e119c-da31-4b22-9630-c8c99c222674	8922	15167	1069	4	15588	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2162	e9c18c07-7977-4e44-bd81-638713b20568	108	15167	1068	4	15589	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2198	240f3054-e347-404c-85f7-928ec8411c0a	236	15167	475	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2200	ac8d7841-a699-4e12-91bf-065a26dc0359	236	15167	548	4	22436	O	Tue Jul 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2211	98c3d3c7-d630-44aa-a19f-3189b7fb8823	230	15167	888	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2233	940350ff-36c7-4a35-9456-043eb95013c2	179	15167	375	4	15594	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2244	37b83aa2-1727-4471-aa86-c833fd58a948	314	15167	347	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2246	6a493669-0cd9-420e-95f8-8ffceab86383	231	15167	548	4	22436	O	Tue Jul 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2252	8a9a3bb3-9847-45d1-b95c-aa2bd2511644	77	15167	375	4	15598	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2257	6f223c89-1438-411f-b859-ff528e3f2dd7	7757	15167	347	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2262	55f0f1c7-6897-49d3-9293-2b095b459f96	10	15168	897	4	15601	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2273	6065d8e9-5404-4a2f-8c36-6e5003e0769d	1087	15167	563	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2291	555b36a3-557c-419f-b866-04d9213412d9	183	15167	1010	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2292	3fab8d17-2d01-42f8-a4e4-7414bc1c424e	183	15167	1053	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2293	8718106e-553c-40e9-a0f9-ee9590119a01	183	15167	431	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2294	93d29b64-a973-46eb-8b71-c84d6e180780	169	15167	572	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2295	ce5d125f-1fd5-460f-b87d-5afb8dfc02ba	169	15167	573	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2296	e30d6eeb-0cb1-48a1-a8bb-d9b92f49356f	263	15167	572	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2297	f60bc602-b67d-4378-b240-a65230331a65	263	15167	573	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2302	1072a7dc-9801-4c34-9dc0-4749ea98c962	274	15168	737	4	15604	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2303	25a6a2d5-a21a-4c4d-826f-a4d561878859	1082	15167	1051	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23048
2304	7f9a67e8-433b-4e81-a01b-78b0a424823d	274	15167	1050	4	null	B	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2315	6109c1a8-3ff2-489a-8c11-112704fc3eaf	231	15167	1047	4	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2316	ecc2675d-1355-45c2-9665-0d28bfdfaad4	166	15167	375	4	15605	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2317	c9ebce5d-458e-4146-bc57-8d6ea266cff1	74	15167	1045	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2320	d5a2a2ce-7055-4256-aa55-244fbfc84ebf	14	15167	431	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2321	02ce4c85-83fe-4b3f-bcfd-eba9b2d8f6d0	140	15167	1044	4	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2322	abdaca23-7da7-4ce3-9be4-64f2d63c541c	140	15167	375	4	15607	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2326	4dc4252a-fd82-438c-a9e9-8b9b585a6ded	93	15167	343	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2331	9e3f11fb-da6c-422a-88cf-d4b523fe91d9	108	15167	1043	4	null	A	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2332	57b20bed-96bd-4789-8fa2-b616281bcc61	79	15167	1043	4	null	A	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2333	1799e023-b801-479e-bf17-3596f9c5c0eb	108	15167	1042	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2334	6c72fc71-0395-43b0-b970-3f101aa2fbd0	18	15167	1041	4	15609	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2336	c02bbe5d-9b24-4a2c-bbda-5797b9d50b23	273	15167	395	4	22443	O	Tue Jul 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2341	7be297e5-60c8-4d58-922e-35d052c9ff35	57	15167	375	4	15611	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2343	1afc0598-d02a-4cba-82a7-1a14be7ca527	270	15167	375	4	15613	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2344	dbd7489f-04bd-465d-a156-8341ff694952	270	15167	343	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2345	1daa1881-d4df-4ef9-931d-9e780fb3be94	285	15167	1038	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2346	07c68343-e5d0-4b2e-a7d5-4c548c49311a	241	15167	1038	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2348	39934cc0-074b-4267-8c48-6fa33d7f8441	306	15167	1037	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23031
2349	a725294b-cf30-4157-bbe3-5792a90302cf	39	15167	584	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2351	056fe928-8a5b-46f4-8960-807a4cb0375f	39	15167	623	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23032
2422	7158bcb2-5e29-41e9-9734-c45d75af9778	1082	15167	735	4	15618	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2430	fa622a59-2c37-4ef2-a8c9-a57dfe06f0c3	103	15167	375	4	15620	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2438	59bae07c-1073-4db2-8afc-bda930b2f3e5	37	15167	1033	4	21897	B	Mon Apr 17 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2440	78d6a00d-db48-4c9a-b330-d0c21adcc7f1	328	15167	1032	4	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2442	b8c06e07-c141-45eb-9e39-74464c8aa054	187	15167	375	4	15623	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2443	ff0114c7-9ec2-4a2a-a947-dc4cf275eaea	91	15167	946	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23049
2444	cdd0e5be-c8dc-4e53-9bc5-c21b9085b669	14813	15167	1031	4	15624	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2446	72f07060-c2fe-41c6-a111-1a596a1c4549	1092	15167	411	4	23105	O	Sun Oct 20 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2447	6d21fbb3-b795-4269-b382-e8361ff31909	91	15167	1030	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2448	e2874432-5953-475d-9793-161fff3f75b5	91	15167	1029	4	null	O	Mon Mar 27 2023 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2451	e5fa0d3d-3d65-435d-8f38-80e8ca606d63	1080	15167	353	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23033
2456	237960df-a5c5-40a0-90aa-339ab88a1d87	247	15167	1014	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2480	5a388262-7078-4ee6-b603-a49b7030048c	58	15168	642	4	22446	O	Tue Jul 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2482	cd46fe94-6c55-4498-ac61-c1d5d68af416	236	15167	1021	4	null	O	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	null	23034
2489	e8cba4ac-a019-491e-90d6-1cd45e839558	124	15167	1020	4	22449	O	Tue Jul 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
2490	79ab4fe8-a395-496c-8494-b1da3bc9f2df	28	15167	1020	4	22449	O	Tue Jul 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time)	null	null
