HierarchieID	Parent	Child	Wijzigingsdatum	HierarchieType
8	598	597	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
10	597	351	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
11	351	303	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
12	351	577	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
13	351	636	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
14	351	385	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
15	597	596	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
16	596	577	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
18	596	385	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
19	598	594	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
20	579	351	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
21	594	352	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
22	595	352	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
23	352	346	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
24	352	340	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
25	352	419	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
26	352	592	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
27	340	590	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
28	590	589	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
29	2089	588	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
30	2089	587	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
31	2089	586	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
32	340	604	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
33	604	603	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
35	604	601	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
37	604	599	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
38	577	101	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
39	577	348	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
40	385	342	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)	Klasse
