SemantischeRelatieID	Informatiemodel	IMBORGUID	Objecttype1	SemantischeRelatie	Objecttype2	Multipliciteit	Toelichting	Wijzigingsdatum
335	4	9958952c-69c8-4060-b887-52ec54f4a572	37	14569	38	15167	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
336	4	9cff2111-af19-418b-9df5-c3081bb5f7c3	37	14569	15	15167	null	Thu Sep 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
337	4	49a0f375-ab4a-4cf4-82eb-c73c77b52490	37	14569	100	15167	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
339	4	21291ec4-86c5-465a-a96f-050c6a396f2c	141	14569	141	15167	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
342	3	4eede638-29c6-4a2c-a3d1-a6fac4898dd6	194	14569	216	15167	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
344	4	9fb255d8-15b0-4913-a569-13680706d574	214	14526	247	15167	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
345	4	fc2f0da6-572a-4697-9994-f6bdb68e91b6	180	14569	231	15167	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
375	4	76a649f7-62af-4572-89bd-517cc7f6998e	310	14526	288	15168	null	Thu Sep 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
376	4	ef73a290-8d01-4c1e-94e6-96ff994455a2	310	14526	276	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
377	4	e87b207b-f541-41c8-86d6-98169243e204	310	14526	247	15168	null	Thu Sep 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
378	4	189e80cc-321d-4ffd-8e23-dad7e96a4ccd	310	14526	214	15168	null	Thu Sep 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
379	4	1b7947b3-18f4-4cf4-acad-58da4b8ad7ba	310	14526	193	15168	null	Thu Sep 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
380	4	8be748fe-ed97-4bb7-b482-58bda3d1af9e	310	14526	186	15168	null	Thu Sep 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
381	4	e00f3c11-3b00-4036-a531-469e586df700	310	14526	80	15168	null	Thu Sep 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time)
431	4	93cade04-5fa7-4058-8e7d-d2be718a9d1d	226	14596	14433	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1455	4	2a411a8a-9100-48fe-8505-cdccc5ebaa28	13	14596	14591	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1456	4	db818740-5fd0-4f10-b717-45c35191782d	116	14596	14591	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1457	4	a8fc422b-1833-4278-87ee-d62192cdbc9c	117	14596	14591	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1458	4	cab96913-62b6-4834-b297-8ff88e2ae673	123	14596	14591	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1460	4	74919c8c-ef8c-4a5d-b683-be2aab92edf3	208	14596	14591	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1461	4	50c88bed-4e9d-441f-8c30-1ed81934d3ab	221	14596	14591	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1462	4	1119a898-0a30-4b7a-b9ff-611ffb6c2850	274	14596	14591	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1740	4	f4b80a70-ef80-49e3-b28a-f4737afff678	37	14569	39	15167	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1741	4	69c41193-a892-4cf5-b9a3-0863705309fb	1	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1742	4	9969c7ef-ac72-4198-945f-2dc558d23a93	7	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1743	4	fc103628-7e2a-4fd9-a66c-df0c585f51ec	13	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1744	4	bfedeb65-2f1d-49bc-bf47-2071a8b8ca4d	14	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1745	4	ba4d9977-9630-42f8-9e18-74b8e90322d2	15	14526	141	14519	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1746	4	c47a3037-96d9-4026-b31b-19411d6889a8	29	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1747	4	bba9d65a-dfc4-451f-bb07-782a3eef194f	41	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1751	4	4b0732d6-3d00-4498-b8c8-475089d90fa2	54	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1752	4	8c72fbab-9d59-42d8-b54c-17b1a48ca997	55	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1754	4	8eadabdc-059e-44b4-a0a3-5b23dea612dc	74	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1755	4	897d8df2-42d5-4789-99d1-20002d0a1f3b	79	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1756	4	78b72730-e01b-4165-9ed8-37e162ecb536	84	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1757	4	c71067e3-c33a-4be2-b290-996f3ebfe8f1	85	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1758	3	f1451058-d6ef-49dd-b5c8-3a14edfbb5d9	91	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1760	4	3ac20573-ccf8-4fe7-9b6c-af7d91631482	109	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
1761	4	e6284b32-6414-44bd-9a08-3dc1f86189bf	116	14526	15	15168	null	Fri Apr 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
